Time,Scenario,Bandwidth_Mbps,Latency_ms,CPU_Usage_percent,Task_Size_MB,Offloading_Decision
1,2,0.9375,0.004310344827586202,0.0,0.4444444444444445,0
2,2,0.8500000000000001,0.012931034482758619,0.053333333333333344,0.1111111111111111,0
3,2,0.9375,0.004310344827586202,0.24000000000000005,0.6666666666666665,0
4,2,0.8125,0.0,0.026666666666666672,0.3333333333333333,0
5,2,0.8500000000000001,0.0,0.22666666666666668,0.3333333333333333,0
6,2,0.9375,0.025862068965517238,0.09333333333333338,0.7777777777777777,0
7,2,0.925,0.01724137931034482,0.0,0.2222222222222222,0
8,2,0.8875,0.021551724137931036,0.10666666666666669,0.2222222222222222,0
9,2,0.8500000000000001,0.021551724137931036,0.040000000000000036,0.1111111111111111,0
10,2,0.8875,0.004310344827586202,0.14666666666666672,0.5555555555555556,0
11,2,0.925,0.01724137931034482,0.013333333333333364,0.7777777777777777,0
12,2,0.9125000000000001,0.004310344827586202,0.16000000000000003,0.1111111111111111,0
13,2,0.9125000000000001,0.01724137931034482,0.26666666666666666,1.0,0
14,2,0.875,0.012931034482758619,0.026666666666666672,0.0,0
15,2,0.9375,0.012931034482758619,0.12000000000000005,0.1111111111111111,0
16,2,0.8500000000000001,0.004310344827586202,0.16000000000000003,0.4444444444444445,0
17,2,0.9000000000000001,0.021551724137931036,0.06666666666666671,0.5555555555555556,0
18,2,0.875,0.012931034482758619,0.10666666666666669,0.1111111111111111,0
19,2,0.925,0.008620689655172417,0.22666666666666668,0.3333333333333333,0
20,2,0.8375,0.03017241379310344,0.16000000000000003,0.4444444444444445,0
21,2,0.9375,0.012931034482758619,0.13333333333333336,0.0,0
22,2,0.8500000000000001,0.0,0.13333333333333336,0.6666666666666665,0
23,2,0.8625,0.004310344827586202,0.08000000000000002,1.0,0
24,2,0.875,0.012931034482758619,0.26666666666666666,0.7777777777777777,0
25,2,0.8875,0.03017241379310344,0.053333333333333344,0.4444444444444445,0
26,2,0.8375,0.012931034482758619,0.22666666666666668,0.8888888888888888,0
27,2,0.8625,0.025862068965517238,0.24000000000000005,0.6666666666666665,0
28,2,0.875,0.012931034482758619,0.053333333333333344,0.8888888888888888,0
29,2,0.9000000000000001,0.004310344827586202,0.013333333333333364,0.1111111111111111,0
30,2,0.8375,0.008620689655172417,0.17333333333333334,1.0,0
31,2,0.8250000000000001,0.025862068965517238,0.16000000000000003,1.0,0
32,2,0.9000000000000001,0.01724137931034482,0.22666666666666668,0.0,0
33,2,0.9375,0.004310344827586202,0.22666666666666668,0.4444444444444445,0
34,2,0.9375,0.021551724137931036,0.040000000000000036,0.4444444444444445,0
35,2,0.8875,0.008620689655172417,0.1866666666666667,0.0,0
36,2,0.8625,0.008620689655172417,0.21333333333333337,0.1111111111111111,0
37,2,0.9375,0.01724137931034482,0.26666666666666666,0.8888888888888888,0
38,2,0.925,0.012931034482758619,0.053333333333333344,0.5555555555555556,0
39,2,0.8375,0.0,0.25333333333333335,0.5555555555555556,0
40,2,0.9000000000000001,0.0,0.040000000000000036,0.5555555555555556,0
41,2,0.8625,0.012931034482758619,0.013333333333333364,0.3333333333333333,0
42,2,0.925,0.004310344827586202,0.026666666666666672,0.7777777777777777,0
43,2,0.8250000000000001,0.008620689655172417,0.053333333333333344,0.7777777777777777,0
44,2,0.9125000000000001,0.008620689655172417,0.10666666666666669,0.8888888888888888,0
45,2,0.925,0.025862068965517238,0.08000000000000002,0.8888888888888888,0
46,2,0.8500000000000001,0.01724137931034482,0.16000000000000003,0.5555555555555556,0
47,2,0.9000000000000001,0.03017241379310344,0.040000000000000036,0.3333333333333333,0
48,2,0.8500000000000001,0.004310344827586202,0.13333333333333336,0.0,0
49,2,0.925,0.012931034482758619,0.24000000000000005,0.3333333333333333,0
50,2,0.8125,0.004310344827586202,0.26666666666666666,0.0,0
51,2,0.8500000000000001,0.004310344827586202,0.013333333333333364,0.5555555555555556,0
52,2,0.8250000000000001,0.012931034482758619,0.10666666666666669,0.7777777777777777,0
53,2,0.8500000000000001,0.008620689655172417,0.24000000000000005,1.0,0
54,2,0.9000000000000001,0.012931034482758619,0.2,0.6666666666666665,0
55,2,0.8500000000000001,0.004310344827586202,0.040000000000000036,0.6666666666666665,0
56,2,0.875,0.025862068965517238,0.17333333333333334,0.7777777777777777,0
57,2,0.8125,0.004310344827586202,0.013333333333333364,0.6666666666666665,0
58,2,0.875,0.004310344827586202,0.09333333333333338,0.3333333333333333,0
59,2,0.8500000000000001,0.03017241379310344,0.053333333333333344,0.6666666666666665,0
60,2,0.8375,0.01724137931034482,0.1866666666666667,0.3333333333333333,0
61,2,0.8250000000000001,0.03017241379310344,0.22666666666666668,0.1111111111111111,0
62,2,0.8125,0.0,0.026666666666666672,0.3333333333333333,0
63,2,0.8375,0.025862068965517238,0.2,0.7777777777777777,0
64,2,0.8500000000000001,0.025862068965517238,0.013333333333333364,0.2222222222222222,0
65,2,0.8875,0.0,0.16000000000000003,0.4444444444444445,0
66,2,0.9000000000000001,0.01724137931034482,0.17333333333333334,0.8888888888888888,0
